Load (N)	Extension (mm)
421.42	36.695
399.94	36.626
379.92	36.552
366.58	36.478
353.23	36.404
339.88	36.330
326.53	36.256
313.18	36.182
304.02	36.108
298.27	36.034
292.51	35.960
286.75	35.886
280.99	35.812
275.23	35.738
269.47	35.664
263.71	35.590
257.95	35.516
252.19	35.442
249.97	35.367
247.79	35.293
245.60	35.219
243.42	35.145
241.24	35.071
239.05	34.997
236.87	34.923
234.69	34.849
232.51	34.775
230.32	34.701
228.14	34.627
225.96	34.553
223.77	34.479
221.59	34.405
219.41	34.331
217.23	34.257
215.14	34.183
213.86	34.109
212.57	34.035
211.29	33.961
210.00	33.887
208.72	33.813
207.43	33.739
206.15	33.665
204.86	33.591
203.58	33.517
202.29	33.443
201.01	33.369
199.72	33.295
198.44	33.221
197.15	33.147
195.87	33.073
194.58	32.999
193.59	32.925
192.66	32.851
191.74	32.777
190.81	32.703
189.89	32.629
188.96	32.555
188.04	32.481
187.12	32.407
186.19	32.333
185.27	32.259
184.34	32.184
183.42	32.110
182.49	32.036
181.57	31.962
180.69	31.888
180.02	31.814
179.36	31.740
178.70	31.666
178.03	31.592
177.37	31.518
176.70	31.444
176.04	31.370
175.37	31.296
174.71	31.222
174.04	31.148
173.38	31.074
172.71	31.000
172.05	30.926
171.38	30.852
170.72	30.778
170.06	30.704
169.39	30.630
168.73	30.556
168.06	30.482
167.40	30.408
166.73	30.334
166.07	30.260
165.40	30.186
164.74	30.112
164.11	30.038
163.53	29.964
162.96	29.890
162.38	29.816
161.80	29.742
161.23	29.668
160.65	29.594
160.07	29.520
159.50	29.446
158.92	29.372
158.34	29.298
157.77	29.224
157.19	29.150
156.61	29.076
156.04	29.003
155.46	28.929
154.88	28.855
154.31	28.781
153.73	28.707
153.15	28.633
152.58	28.559
152.00	28.485
151.42	28.411
150.85	28.337
150.27	28.263
149.69	28.189
149.12	28.115
148.54	28.041
147.98	27.967
147.46	27.892
146.94	27.818
146.41	27.744
145.89	27.670
145.37	27.596
144.85	27.522
144.33	27.448
143.81	27.374
143.29	27.300
142.76	27.226
142.24	27.152
141.72	27.078
141.20	27.004
140.68	26.930
140.16	26.856
139.64	26.782
139.11	26.708
138.59	26.634
138.07	26.560
137.55	26.486
137.03	26.412
136.51	26.338
135.99	26.264
135.46	26.190
134.94	26.116
134.42	26.042
133.91	25.968
133.43	25.894
132.95	25.820
132.47	25.746
131.99	25.672
131.51	25.598
131.02	25.524
130.54	25.450
130.06	25.376
129.58	25.302
129.10	25.228
128.62	25.154
128.14	25.080
127.66	25.006
127.17	24.932
126.69	24.858
126.21	24.784
125.73	24.710
125.25	24.636
124.77	24.562
124.29	24.488
123.81	24.414
123.32	24.339
122.84	24.265
122.36	24.189
121.88	24.115
121.40	24.041
120.92	23.967
120.44	23.893
119.96	23.819
119.48	23.745
118.99	23.671
118.51	23.597
118.03	23.523
117.55	23.449
117.07	23.375
116.59	23.301
116.11	23.227
115.63	23.153
115.14	23.079
114.66	23.005
114.18	22.931
113.70	22.857
113.22	22.783
112.74	22.709
112.26	22.635
111.78	22.561
111.29	22.487
110.84	22.413
110.39	22.339
109.94	22.265
109.48	22.191
109.03	22.117
108.58	22.043
108.12	21.969
107.67	21.894
107.22	21.820
106.77	21.746
106.31	21.672
105.86	21.598
105.41	21.524
104.95	21.450
104.50	21.376
104.05	21.302
103.60	21.228
103.14	21.154
102.69	21.080
102.24	21.006
101.78	20.932
101.33	20.858
100.88	20.784
100.43	20.710
99.973	20.636
99.520	20.562
99.067	20.488
98.615	20.414
98.162	20.340
97.709	20.266
97.256	20.192
96.803	20.118
96.350	20.044
95.897	19.970
95.444	19.895
94.992	19.821
94.539	19.747
94.086	19.673
93.633	19.599
93.180	19.525
92.727	19.451
92.274	19.377
91.822	19.303
91.369	19.229
90.916	19.155
90.463	19.081
90.010	19.007
89.557	18.933
89.104	18.859
88.651	18.785
88.199	18.711
87.746	18.637
87.293	18.563
86.840	18.489
86.387	18.415
85.951	18.341
85.517	18.267
85.083	18.193
84.649	18.119
84.216	18.045
83.782	17.971
83.348	17.897
82.914	17.822
82.480	17.748
82.046	17.674
81.612	17.600
81.179	17.526
80.745	17.452
80.311	17.378
79.877	17.304
79.443	17.230
79.009	17.156
78.575	17.082
78.142	17.008
77.708	16.934
77.274	16.860
76.840	16.786
76.406	16.712
75.972	16.638
75.538	16.564
75.105	16.490
74.671	16.416
74.237	16.342
73.803	16.268
73.369	16.194
72.935	16.120
72.502	16.046
72.068	15.972
71.634	15.898
71.200	15.823
70.766	15.749
70.332	15.675
69.898	15.601
69.465	15.527
69.033	15.453
68.601	15.379
68.169	15.306
67.737	15.232
67.305	15.158
66.874	15.084
66.442	15.010
66.010	14.936
65.578	14.862
65.146	14.788
64.714	14.714
64.282	14.640
63.850	14.566
63.419	14.492
62.987	14.418
62.555	14.344
62.123	14.271
61.691	14.197
61.259	14.123
60.839	14.049
60.420	13.975
60.001	13.901
59.583	13.827
59.164	13.753
58.745	13.679
58.326	13.605
57.907	13.530
57.488	13.456
57.069	13.381
56.650	13.307
56.231	13.233
55.812	13.159
55.393	13.085
54.974	13.011
54.555	12.937
54.136	12.863
53.717	12.789
53.298	12.715
52.879	12.641
52.460	12.567
52.041	12.493
51.623	12.419
51.204	12.344
50.785	12.270
50.366	12.196
49.947	12.122
49.528	12.048
49.109	11.974
